Date,BBG_TICKER,RATING_SP
2008-01-02,AUST,1
2008-01-03,AUST,1
2008-01-04,AUST,1
2008-01-07,AUST,1
2008-01-08,AUST,1
2008-01-09,AUST,1
2008-01-10,AUST,1
2008-01-11,AUST,1
2008-01-14,AUST,1
2008-01-15,AUST,1
2008-01-16,AUST,1
2008-01-17,AUST,1
2008-01-18,AUST,1
2008-01-21,AUST,1
2008-01-22,AUST,1
2008-01-23,AUST,1
2008-01-24,AUST,1
2008-01-25,AUST,1
2008-01-28,AUST,1
2008-01-29,AUST,1
2008-01-30,AUST,1
2008-01-31,AUST,1
2008-02-01,AUST,1
2008-02-04,AUST,1
2008-02-05,AUST,1
2008-02-06,AUST,1
2008-02-07,AUST,1
2008-02-08,AUST,1
2008-02-11,AUST,1
2008-02-12,AUST,1
2008-02-13,AUST,1
2008-02-14,AUST,1
2008-02-15,AUST,1
2008-02-18,AUST,1
2008-02-19,AUST,1
2008-02-20,AUST,1
2008-02-21,AUST,1
2008-02-22,AUST,1
2008-02-25,AUST,1
2008-02-26,AUST,1
2008-02-27,AUST,1
2008-02-28,AUST,1
2008-02-29,AUST,1
2008-03-03,AUST,1
2008-03-04,AUST,1
2008-03-05,AUST,1
2008-03-06,AUST,1
2008-03-07,AUST,1
2008-03-10,AUST,1
2008-03-11,AUST,1
2008-03-12,AUST,1
2008-03-13,AUST,1
2008-03-14,AUST,1
2008-03-17,AUST,1
2008-03-18,AUST,1
2008-03-19,AUST,1
2008-03-20,AUST,1
2008-03-21,AUST,1
2008-03-24,AUST,1
2008-03-25,AUST,1
2008-03-26,AUST,1
2008-03-27,AUST,1
2008-03-28,AUST,1
2008-03-31,AUST,1
2008-04-01,AUST,1
2008-04-02,AUST,1
2008-04-03,AUST,1
2008-04-04,AUST,1
2008-04-07,AUST,1
2008-04-08,AUST,1
2008-04-09,AUST,1
2008-04-10,AUST,1
2008-04-11,AUST,1
2008-04-14,AUST,1
2008-04-15,AUST,1
2008-04-16,AUST,1
2008-04-17,AUST,1
2008-04-18,AUST,1
2008-04-21,AUST,1
2008-04-22,AUST,1
2008-04-23,AUST,1
2008-04-24,AUST,1
2008-04-25,AUST,1
2008-04-28,AUST,1
2008-04-29,AUST,1
2008-04-30,AUST,1
2008-05-01,AUST,1
2008-05-02,AUST,1
2008-05-05,AUST,1
2008-05-06,AUST,1
2008-05-07,AUST,1
2008-05-08,AUST,1
2008-05-09,AUST,1
2008-05-12,AUST,1
2008-05-13,AUST,1
2008-05-14,AUST,1
2008-05-15,AUST,1
2008-05-16,AUST,1
2008-05-19,AUST,1
2008-05-20,AUST,1
2008-05-21,AUST,1
2008-05-22,AUST,1
2008-05-23,AUST,1
2008-05-26,AUST,1
2008-05-27,AUST,1
2008-05-28,AUST,1
2008-05-29,AUST,1
2008-05-30,AUST,1
